poleNo,brand,model,material,type,colour,gender,eyeSize,bridgeSize,sideLength,barcode,patientSideLength,patientFaceWidth,isSunglass,vari,FaceShapes,AgeKeywords,View,Front,Side
22D,Stepper,SI-4024,Titanium,Fullrim,Gun,Male,53,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/22D1.jpg,/Images/FrameImages/22D2.jpg,/Images/FrameImages/22D3.jpg
22E,Stepper,SI-8498,Titanium,Rimless,Gray,Male,53,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/22E1.jpg,/Images/FrameImages/22E2.jpg,/Images/FrameImages/22E3.jpg
22F,Stepper,SI8095,Titanium,Rimless,Gold,Male,54,16,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/22F1.jpg,/Images/FrameImages/22F2.jpg,/Images/FrameImages/22F3.jpg
22G,Stepper,SI4047,Titanium,Fullrim,Gun,Male,54,19,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/22G1.jpg,/Images/FrameImages/22G2.jpg,/Images/FrameImages/22G3.jpg
22H,Stepper,SI4035,Titanium,Supra,Gun,Male,55,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/22H1.jpg,/Images/FrameImages/22H2.jpg,/Images/FrameImages/22H3.jpg
22I,Stepper,SI20003,Plastic,Fullrim,Gray,Male,54,14,135,505478142650,SmallSL,MediumPD,0,1,Oval Round Rectangular,Modern,/Images/FrameImages/22I1.jpg,/Images/FrameImages/22I2.jpg,/Images/FrameImages/22I3.jpg
22K,Flex,TA3706,Flex,Supra,Black,Male,56,18,140,505478142650,MediumSL,MediumPD,0,0,Oval Round Rectangular,Modern,/Images/FrameImages/22K1.jpg,/Images/FrameImages/22K2.jpg,/Images/FrameImages/22K3.jpg
22L,Flex,TA3708,Flex,Fullrim,Bronze,Male,55,16,145,505478142650,LargeSL,MediumPD,0,1,Oval Round Rectangular,Modern,/Images/FrameImages/22L1.jpg,/Images/FrameImages/22L2.jpg,/Images/FrameImages/22L3.jpg
22M,Flex,TA3712,Flex,Fullrim,Brown,Male,54,16,145,505478142650,LargeSL,MediumPD,0,1,Oval Round Rectangular,Modern,/Images/FrameImages/22M1.jpg,/Images/FrameImages/22M2.jpg,/Images/FrameImages/22M3.jpg
22N,Flex,TA3705,Flex,Fullrim,Black,Male,54,17,145,505478142650,LargeSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/22N1.jpg,/Images/FrameImages/22N2.jpg,/Images/FrameImages/22N3.jpg
22O,Flex,TA3713,Flex,Fullrim,Silver,Male,54,17,145,505478142650,LargeSL,MediumPD,0,1,Oval Round Rectangular,Modern,/Images/FrameImages/22O1.jpg,/Images/FrameImages/22O2.jpg,/Images/FrameImages/22O3.jpg
22P,Flex,TA3709,Flex,Fullrim,Blue,Male,53,17,145,505478142650,LargeSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/22P1.jpg,/Images/FrameImages/22P2.jpg,/Images/FrameImages/22P3.jpg
22Q,Flex,TA1701,Flex,Fullrim,Gun,Male,53,15,145,505478142650,LargeSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/22Q1.jpg,/Images/FrameImages/22Q2.jpg,/Images/FrameImages/22Q3.jpg
22R,Flex,TA1710,Flex,Fullrim,Bronze,Male,54,17,150,505478142650,LargeSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/22R1.jpg,/Images/FrameImages/22R2.jpg,/Images/FrameImages/22R3.jpg
