poleNo,brand,model,material,type,colour,gender,eyeSize,bridgeSize,sideLength,barcode,patientSideLength,patientFaceWidth,isSunglass,vari,FaceShapes,AgeKeywords,View,Front,Side
17F,Cacharel Paris,CA3015,Plastic,Fullrim,Red,Female,49,20,140,505478142650,LargeSL,MediumPD,0,1,Oval Square,Modern,/Images/FrameImages/17F1.jpg,/Images/FrameImages/17F2.jpg,/Images/FrameImages/17F3.jpg
17G,Cacharel Paris,CA3013,Plastic,Fullrim,Caramel,Female,53,15,135,505478142650,MediumSL,MediumPD,0,1,Oval Round ,Modern Traditional,/Images/FrameImages/17G1.jpg,/Images/FrameImages/17G2.jpg,/Images/FrameImages/17G3.jpg
17H,Cacharel Paris,CA1011,Metal,Supra,Bronze,Female,51,17,135,505478142650,MediumSL,MediumPD,0,0,Oval Round Rectangular,Traditional,/Images/FrameImages/17H1.jpg,/Images/FrameImages/17H2.jpg,/Images/FrameImages/17H3.jpg
17I,Cacharel Paris,CA3019,Plastic,Fullrim,Navy,Female,52,17,130,505478142650,SmallSL,MediumPD,0,1,Oval Round,Modern,/Images/FrameImages/17I1.jpg,/Images/FrameImages/17I2.jpg,/Images/FrameImages/17I3.jpg
17K,Cacharel Paris,CA7011,Plastic,Fullrim,Red,Female,57,16,140,505478142650,LargeSL,LargePD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/17K1.jpg,/Images/FrameImages/17K2.jpg,/Images/FrameImages/17K3.jpg
17L,Cacharel Paris,CA7016,Plastic,Fullrim,Black,Female,56,18,135,505478142650,MediumSL,LargePD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/17L1.jpg,/Images/FrameImages/17L2.jpg,/Images/FrameImages/17L3.jpg
17M,Cacharel Paris,CA7012,Plastic,Fullrim,Tort,Female,53,17,140,505478142650,LargeSL,MediumPD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/17M1.jpg,/Images/FrameImages/17M2.jpg,/Images/FrameImages/17M3.jpg
17N,Cacharel Paris,CA3029,Plastic,Fullrim,Gold,Female,54,17,140,505478142650,LargeSL,LargePD,1,1,Oval,Traditional,/Images/FrameImages/17N1.jpg,/Images/FrameImages/17N2.jpg,/Images/FrameImages/17N3.jpg
17O,7 For All Mankind,7905,Plastic,Fullrim,Green,Female,50,19,140,505478142650,LargeSL,MediumPD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/17O1.jpg,/Images/FrameImages/17O2.jpg,/Images/FrameImages/17O3.jpg
17P,7 For All Mankind,ECHO,Plastic,Fullrim,Tort,Female,52,19,143,505478142650,LargeSL,MediumPD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/17P1.jpg,/Images/FrameImages/17P2.jpg,/Images/FrameImages/17P3.jpg
17Q,7 For All Mankind,Arieta,Plastic,Fullrim,Black,Female,55,18,143,505478142650,LargeSL,LargePD,1,1,Oval Square,Modern Traditional,/Images/FrameImages/17Q1.jpg,/Images/FrameImages/17Q2.jpg,/Images/FrameImages/17Q3.jpg
17R,7 For All Mankind,7907,Plastic,Fullrim,Blue,Female,51,18,145,505478142650,LargeSL,MediumPD,1,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/17R1.jpg,/Images/FrameImages/17R2.jpg,/Images/FrameImages/17R3.jpg
18A,7 For All Mankind,750,Plastic,Fullrim,Black,Male,54,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/18A1.jpg,/Images/FrameImages/18A2.jpg,/Images/FrameImages/18A3.jpg
18B,7 For All Mankind,720,Metal,Fullrim,Gun,Male,53,17,140,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/18B1.jpg,/Images/FrameImages/18B2.jpg,/Images/FrameImages/18B3.jpg
18C,7 For All Mankind,753,Plastic,Fullrim,Brown,Male,47,20,140,505478142650,MediumSL,SmallPD,0,1,Oval Square,Modern,/Images/FrameImages/18C1.jpg,/Images/FrameImages/18C2.jpg,/Images/FrameImages/18C3.jpg
18D,7 For All Mankind,752,Plastic,Fullrim,Tort,Male,50,19,140,505478142650,MediumSL,SmallPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/18D1.jpg,/Images/FrameImages/18D2.jpg,/Images/FrameImages/18D3.jpg
18E,7 For All Mankind,712,Plastic,Fullrim,Gray,Male,53,19,143,505478142650,MediumSL,MediumPD,0,1,Oval Round Rectangular,Modern Traditional,/Images/FrameImages/18E1.jpg,/Images/FrameImages/18E2.jpg,/Images/FrameImages/18E3.jpg
18F,7 For All Mankind,721,Metal,Fullrim,Gun,Male,53,18,145,505478142650,LargeSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/18F1.jpg,/Images/FrameImages/18F2.jpg,/Images/FrameImages/18F3.jpg
18G,7 For All Mankind,751,Plastic,Fullrim,Blue,Male,52,18,145,505478142650,LargeSL,MediumPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/18G1.jpg,/Images/FrameImages/18G2.jpg,/Images/FrameImages/18G3.jpg
18H,7 For All Mankind,730,Plastic,Fullrim,Tort,Male,50,18,138,505478142650,MediumSL,SmallPD,0,1,Oval Square,Modern Traditional,/Images/FrameImages/18H1.jpg,/Images/FrameImages/18H2.jpg,/Images/FrameImages/18H3.jpg
18I,7 For All Mankind,723,Metal,Fullrim,Black,Male,51,19,135,505478142650,MediumSL,MediumPD,0,1,Oval Round,Modern Traditional,/Images/FrameImages/18I1.jpg,/Images/FrameImages/18I2.jpg,/Images/FrameImages/18I3.jpg
18K,7 For All Mankind,Topenga,Metal,Fullrim,Black,Male,58,15,150,505478142650,LargeSL,LargePD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/18K1.jpg,/Images/FrameImages/18K2.jpg,/Images/FrameImages/18K3.jpg
18L,7 For All Mankind,Topenga,Plastic,Fullrim,Brown,Male,58,15,150,505478142650,LargeSL,LargePD,1,1,Oval Rectangular Square,Modern Traditional,/Images/FrameImages/18L1.jpg,/Images/FrameImages/18L2.jpg,/Images/FrameImages/18L3.jpg
